lat,lon,age_mid,min_age,max_age,group,genesis_class,Minerals,Mn Ion,mindat ID,Locality containing Mineral
51.195555555556,-2.4363888888888994,260.0,260.0,260.0,C,Metamorphic Mn oxide (ambiguous default),Hausmannite,Mn^2+,21801,"Elgersburg, Ilmenau District, Thuringia, Germany"
51.195555555556,-2.4363888888888994,260.0,260.0,260.0,C,Metamorphic Mn oxide (ambiguous default),Hausmannite,Mn^2+,21803,"Arlesberg, Geraberg, Ilmenau District, Thuringia, Germany"
51.195555555556,-2.4363888888888994,260.0,260.0,260.0,C,Metamorphic Mn oxide (ambiguous default),Hausmannite,Mn^2+,1831,"Oehrenstock (Öhrenstock), Langewiesen, Ilmenau District, Thuringia, Germany"
51.195555555556,-2.4363888888888994,260.0,260.0,260.0,Other,Supergene/oxidation product,Manganite,Mn^3+,203872,"Luthersteufe Mine, Schorte Valley (Schurde), Oehrenstock (Öhrenstock), Langewiesen, Ilmenau District, Thuringia, Germany"
50.645,11.451666666666995,34.3,2.6,66.0,A,Marine hydrogenetic/early diagenetic oxide,Asbolane,Mn^4+,5566,"Kamsdorf, Saalfeld-Rudolstadt, Thuringia, Germany"
25.793333333333,-103.79083333333,34.3,2.6,66.0,Other,Supergene/oxidation product,Manganite,Mn^3+,270802,"Fromm Shaft, Kamsdorf, Saalfeld-Rudolstadt, Thuringia, Germany"
50.645,11.451666666666995,34.3,2.6,66.0,A,Marine hydrogenetic/early diagenetic oxide,Asbolane,Mn^4+,6006,"Glücksbrunn, Schweina, Thuringia, Germany"
50.5,11.506944444444002,300.0,299.0,301.0,Other,Magmatic/pegmatitic or phosphate-stage,Helvine,Mn^2+,21795,"Henneberg Quarry, Weitisberga, Wurzbach, Thuringia, Germany"
37.736111111111,24.032222222222003,8.5,7.0,10.0,Other,Other/uncertain,Manganarsite,Mn^2+,1942,"Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Supergene/oxidation product,Chalcophanite,Mn^4+,220055,"Kamariza Dump, Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,220055,"Kamariza Dump, Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Other/uncertain,Hollandite,Mn^4+,220055,"Kamariza Dump, Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.725833333333,24.013888888889,11.9,3.6,20.2,Other,Other/uncertain,Aurorite,Mn^2+,1932,"Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.725833333333,24.013888888889,11.9,3.6,20.2,Other,Other/uncertain,Manjiroite,Mn^4+,1932,"Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.725833333333,24.013888888889,11.9,3.6,20.2,Other,Other/uncertain,Hetaerolite,Mn^3+,1932,"Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Supergene/oxidation product,Chalcophanite,Mn^4+,1933,"Christiana Mine, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,1933,"Christiana Mine, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.716666666667,24.013611111111004,11.9,3.6,20.2,Other,Other/uncertain,Brandtite,Mn^2+,1936,"Hilarion Mine (Hilarion Adit; Hilarion Mine No. 50), Hilarion Area, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,1936,"Hilarion Mine (Hilarion Adit; Hilarion Mine No. 50), Hilarion Area, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.716666666667,24.013611111111004,11.9,3.6,20.2,Other,Supergene/oxidation product,Manganite,Mn^3+,1936,"Hilarion Mine (Hilarion Adit; Hilarion Mine No. 50), Hilarion Area, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Supergene/oxidation product,Chalcophanite,Mn^4+,1936,"Hilarion Mine (Hilarion Adit; Hilarion Mine No. 50), Hilarion Area, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Supergene/oxidation product,Chalcophanite,Mn^4+,8006,"Jean Baptiste Mine, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,8006,"Jean Baptiste Mine, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,8007,"Serpieri Mine, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Other/uncertain,Hollandite,Mn^4+,8007,"Serpieri Mine, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,10636,"Fernando Mine No. 1, Botsaris Mines, Botsaris Area, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,10609,"Chaos Mines, Chaos Area, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Supergene/oxidation product,Chalcophanite,Mn^4+,304662,"Dipseliza No. 28 Mine, Dipseliza Mines, Dipseliza Area, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,10610,"Elafos Mines, Elafos Area, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
