deposit_name,country,state,deposit_type,age_Ma,host_formation,metamorphic_grade,mineral,latitude,longitude,coord_confidence,host_class,supergene,MnO(%),Fe2O3 t,SiO2 (%),Al2O3 (%),P2O5,Ba,Co,Ni,V,As,tonnage_total_metal,plate_id,age_round,paleo_lat,paleo_lon,abspaleolat
Çevretepe-Dozuztekne,Turkey,,volcanic-hosted,85.0,Isali,,,40.0,33.0,country,volcanic-hosted,False,18.915942028985505,36.29181111111111,,2.5031888888888885,0.956075,,975.0,550.0,,,0.0725111111111111,521,85,32.00509041085189,39.87440807363984,32.00509041085189
Changyang,China,,sediment-hosted,660.0,,,,30.5,111.2,region,sediment-hosted,False,5.922077922077921,4.5188,23.593169999999997,4.895099999999999,,,63.0,29.0,,,0.0455999999999999,6024,660,44.927254810407,27.566037152886647,44.927254810407
Chiatura (Tchiatura)-Kvirila,Georgia,,sediment-hosted,28.0,,,manganite,42.3,43.3,auto(PP1802/seed),sediment-hosted,True,48.44849992331877,1.6291666666666669,14.740833333333336,3.5208333333333335,0.22,3314.557217391304,,,,,225.0,551,28,38.653723114071774,39.59627364128145,38.653723114071774
Datangpo,China,Guizhou,sediment-hosted,660.0,,,,28.0,109.0,auto(PP1802/seed),sediment-hosted,False,39.92528603034134,2.65375,,,0.37,,,,,,0.2317,6024,660,43.01811106854709,31.051365801574974,43.01811106854709
Dawashan,China,Sichuan,sediment-hosted,444.0,,,rhodochrosite,29.0,104.0,region,sediment-hosted,False,34.4875,3.2972500000000005,7.2425,1.8362499999999995,0.1674999999999999,3169.05,61.8375,242.3625,57.7625,,0.48,6024,444,-14.926895143139703,81.99638837893288,14.926895143139703
Dounan-Baixian-Heishui,China,Yunnan,sediment-hosted,230.0,Falang,,"braunite, rhodochrosite",23.7,103.1,lit,sediment-hosted,False,39.78666666666667,1.545,11.295,2.275,0.1666666666666666,,,,,,13.0,6024,230,29.233456473701487,105.62980092517094,29.233456473701487
Drimos-Aroania,Greece,,volcanic-hosted,152.0,Lesteena,,pyrolusite,38.0,22.2,region,volcanic-hosted,False,28.122000000000003,0.3,57.548,0.7399999999999999,0.038,6085.222222222223,149.44444444444446,129.88888888888889,194.44444444444449,,0.01,346,152,10.050968929361803,35.16200648027494,10.050968929361803
East Carpathians,Romania,,volcanic-hosted,488.0,Tulghes Grp,greenschist,rhodochrosite,47.0,25.5,region,volcanic-hosted,False,36.354545454545445,13.395454545454545,20.798181818181817,1.12,0.4227272727272727,265.0,36.537499999999994,82.9625,36.6625,,2.8826666666666667,340,488,-68.47686758858801,18.256136775053115,68.47686758858801
Elazig district,Turkey,,volcanic-hosted,44.0,Melafan,,"braunite, jacobsite, bixbyite",38.7,39.2,lit,volcanic-hosted,False,23.895499999999995,34.986999999999995,20.159,3.566999999999999,0.9680000000000002,1741.05,66.53,739.355,589.05,194.46999999999997,0.38,522,44,27.30754114714786,37.156182588388695,27.30754114714786
Faizuly,Russia,Magnitogorsk,volcanic-hosted,395.0,Bugulygyr,zeolite,"rhodochrosite, pyroxmangite",53.4,59.0,lit,volcanic-hosted,False,47.41875000000001,1.536875,33.525,1.28,0.1076923076923077,,,,,,0.2625,302,395,6.088982212084926,-17.46986161918425,6.088982212084926
Forari,New Hebrides,,volcanic-hosted,1.0,,,amorphous oxides,-17.7,168.5,lit,volcanic-hosted,False,36.35,18.3744,12.396,16.922,,4586.266094420601,,,,,0.48,827,1,-17.54999458972857,169.3190835741662,17.54999458972857
Gambatesa-Molinello,Italy,Liguria,volcanic-hosted,146.0,Monte Alpe,greenschist,braunite,44.4,9.4,lit,volcanic-hosted,False,45.978238408842714,0.4770074062016765,44.94255153888476,0.8485787451984635,,1770.0,19.05,3.64,,,0.36,307,146,19.48471154254728,33.17975038696126,19.48471154254728
Gaoyan,China,Sichuan,sediment-hosted,660.0,Doushantuo,,rhodochrosite,28.0,109.0,auto(PP1802/seed),sediment-hosted,False,33.955555555555556,4.671333333333333,17.066666666666666,0.0,0.2799999999999999,,,,,,3.0795000000000003,6024,660,43.01811106854709,31.051365801574974,43.01811106854709
Gonzen,Switzerland,,sediment-hosted,156.0,Quintner LS,none,rhodochrosite,47.1,9.4,lit,sediment-hosted,False,41.47666666666667,5.096666666666667,1.6966666666666663,1.07,0.0266666666666666,18500.0,14.5,134.33333333333334,,33.333333333333336,0.1589938888888889,305,156,31.137260198823384,35.58625640986216,31.137260198823384
Groote Eylandt,Australia,NT,sediment-hosted,99.0,Mullaman,none,pyrolusite,-14.0,136.5,auto(PP1802/seed),sediment-hosted,False,58.11130989898992,4.516481481481482,13.185170370370372,5.23837037037037,0.0559408602150537,5097.923026744946,77.6,253.0,,,179.2,8011,99,-47.05115579120178,137.66688851333035,47.05115579120178
Guichi,China,Anhui,sediment-hosted,270.0,Gufeng,,rhodochrosite,30.7,117.5,region,sediment-hosted,False,20.7,0.56,6.52,0.46,0.15,28.7,1.0,129.0,104.0,,,6024,270,16.018302356379788,107.77235809978477,16.018302356379788
Hawasina,Oman,,volcanic-hosted,146.0,Wahrah,none to greenschist,pyrolusite,23.2,57.5,region,volcanic-hosted,False,41.98,1.8671428571428572,46.99571428571429,0.8957142857142858,0.1099999999999999,1504.0,135.85714285714286,160.14285714285714,305.42857142857144,,0.1464333333333333,503,146,-18.568895989630402,55.42257762859301,18.568895989630402
Huayuan,China,Hunan,sediment-hosted,660.0,,,,28.6,109.5,lit,sediment-hosted,False,31.494807,2.4882,10.84473,1.3419,0.5318181818181819,,19.0,25.0,,,0.1985,6024,660,43.46974618261599,30.239396131800053,43.46974618261599
Imini,Morocco,,karst-hosted,95.0,,none,pyrolusite,30.7333,-6.9,auto(PP1802/seed),karst-hosted,False,61.94306441744603,1.3464285714285713,7.742857142857143,2.0142857142857147,0.1878571428571428,26521.6,26.928571428571427,59.857142857142854,1011.7857142857144,42.107142857142854,10.0625,77142,95,22.076755838381697,3.459530357970252,22.076755838381697
Jiaodingshan,China,Sichuan,sediment-hosted,444.0,,,rhodochrosite,29.0,104.0,region,sediment-hosted,False,45.82,3.275,14.968,1.932,0.3259999999999999,6021.8,212.6,331.4,76.5,,1.26,6024,444,-14.926895143139703,81.99638837893288,14.926895143139703
"Karadzhal (Karazhal, Karadjal) all oxide",Kazakhstan,Atasu,volcanic-hosted,375.0,Karadzhal,,"braunite, jacobsite, hausmannite",48.7,73.3,lit,volcanic-hosted,False,25.930434782608693,16.527224999999998,21.8225,3.66,0.101905,7825.0,29.391666666666666,,,113.0,71.568,461,375,13.881853059343294,55.7160075913996,13.881853059343294
Karwendel /Tennengebirge,Austria,,sediment-hosted,161.0,Strubberg,,rhodochrosite,47.5,13.0,region,sediment-hosted,False,20.46,9.964,25.1,3.572,0.192,527.6666666666666,79.66666666666667,5.0,41.666666666666664,,0.06187,334,161,26.85730551816238,32.6327111087346,26.85730551816238
Krížna,Poland,,sediment-hosted,180.0,,,Mn calcite,49.2,19.9,region,sediment-hosted,False,55.06666666666666,4.966666666666667,3.073333333333333,0.9633333333333334,0.1933333333333333,1272.0,70.66666666666667,105.46666666666664,17.799999999999997,38.96666666666667,0.16,334,180,31.456657721309302,32.7899514647383,31.456657721309302
Kyzltash,Russia,Magnitogorsk,volcanic-hosted,385.0,Ulutau,,,53.4,59.0,lit,volcanic-hosted,False,37.68190476190476,4.6230769230769235,35.300000000000004,1.83,0.0438461538461538,,,,,,0.2625,302,385,8.324598996156713,-11.48676316939739,8.324598996156713
Laba (Labinsk),Russia,,sediment-hosted,28.0,,none,rhodochrosite,44.6,40.7,region,sediment-hosted,False,32.92843526271083,3.883483661593554,,,0.0407804420945,,13.166666666666666,151.25,37.125,,3.0,301,28,40.6703395814357,36.7544889567501,40.6703395814357
Lijiaying,China,Shaanxi,volcanic-hosted,1400.0,Guojiagou,greenschist,braunite,33.0,108.0,region,volcanic-hosted,False,37.35,0.975,18.266666666666666,0.9333333333333336,0.0583333333333333,,,,,,2.3,6025,1400,33.0,108.0,33.0
Lucifer,Mexico,Baja Sur,volcanic-hosted,3.6,Boleo,none,cryptomelane,27.0,-112.2,region,volcanic-hosted,True,58.6893546619689,2.730045323570789,4.47,1.73,0.1146,7703.02,2800.0000000000005,1100.0,,0.11,0.12,105,4,26.651315341202636,-108.59336838980582,26.651315341202636
Mangyshlak-carb,Kazakhstan,,sediment-hosted,28.0,,,rhodochrosite,43.7,51.2,lit,sediment-hosted,False,25.651247857142856,2.8148999999999997,,,0.4610739999999999,,5.714285714285714,40.416666666666664,45.583333333333336,,2.6,301,28,40.87778274243608,46.76838356904637,40.87778274243608
Mangyshlak-ox,Kazakhstan,,sediment-hosted,28.0,,,pyrolusite,43.7,51.2,lit,sediment-hosted,False,39.823315624999985,3.4766874999999997,,,0.0879554999999999,,71.44444444444444,162.35,90.85,,0.4,301,28,40.87778274243608,46.76838356904637,40.87778274243608
Matese-Ciociaria,Italy,Molise,volcanic-hosted,11.0,Pietraroia,none,todorokite,41.5,14.3,region,volcanic-hosted,True,,,,,,,,,,,0.0341714285714285,307,11,36.09861859141173,13.729928079239004,36.09861859141173
Minle,China,Hunan,sediment-hosted,660.0,Minle,,rhodochrosite,28.3,112.5,lit,sediment-hosted,False,,3.718,,,,,,,,,6.0,6023,660,46.10667882505979,30.670748118961885,46.10667882505979
Molango,Mexico,Hidalgo,sediment-hosted,156.0,Taman,none,rhodochrosite,20.8333,-98.7333,auto(PP1802/seed),sediment-hosted,False,36.359411764705875,8.468823529411766,11.37,2.69,0.08,47.61764705882353,138.214,55.1764705882353,66.5,23.793333333333337,46.0,104,156,13.015186501673432,-35.53397409319292,13.015186501673432
Mutun,Bolivia,,sediment-hosted,700.0,Jacadigo,none,cryptomelane,-19.1,-57.7,lit,sediment-hosted,True,63.21,10.582,2.3,1.4,0.1832,3044.444444444445,316.0,,,,45.0,201,700,-29.02371676219913,104.78478232135595,29.02371676219913
Nikopol,Ukraine,,sediment-hosted,28.0,,none,rhodochrosite,47.5667,34.4167,auto(PP1802/seed),sediment-hosted,False,33.00020900030203,5.845714285714286,20.515,2.515,0.025,2094.056428571429,,121.6,78.0,,,302,28,43.01585125444355,30.41756895424692,43.01585125444355
Ningxiang,China,Hunan,sediment-hosted,660.0,,,,28.3,112.6,lit,sediment-hosted,False,29.6976,3.6179,6.695069999999999,1.0961999999999998,,,1.0,17.0,,,1.0,6023,660,46.194723827460805,30.669747193357743,46.194723827460805
Noda-Tamagawa (originally rhodochrosite),Japan,Iwate,sediment-hosted,190.0,Takayahiki,,hausmanite,40.0,141.8,lit,sediment-hosted,False,2.77,3.432,75.924,6.068,0.166,551.2,27.0,37.81999999999999,64.16,25.2,0.24,625,190,61.08490119139187,-143.7653988339182,61.08490119139187
Obrochishte,Bulgaria,,sediment-hosted,28.0,Ruslar,none,rhodochrosite,43.4,28.0,lit,sediment-hosted,False,30.43131883980081,1.8709582246438496,25.52610100296019,4.158525639387938,0.4807788711123105,274.78676969069625,17.87634274067528,26.719453820742228,864.866097406138,,16.492,319,28,38.32803999903431,25.20823209923688,38.32803999903431
Ocakli,Turkey,,volcanic-hosted,85.0,,,,40.0,33.0,country,volcanic-hosted,False,65.69813664596272,1.4831142857142858,,,0.2486285714285714,2329.125,19.25,22.75,,,0.25185,521,85,32.00509041085189,39.87440807363984,32.00509041085189
Otjozondu,Namibia,,sediment-hosted,800.0,Chuos,amphibolite,braunite,-21.5,17.5,auto(PP1802/seed),sediment-hosted,False,47.229292929292946,13.95222222222222,14.632962962962962,2.081851851851852,0.1183333333333333,68957.8474074074,214.16666666666663,34.888888888888886,138.20833333333334,268.3333333333333,2.0,77013,800,-38.73667805387328,43.88426910853717,38.73667805387328
San Francisco ( Autlan),Mexico,Jalisco,volcanic-hosted,34.0,,,braunite,19.8,-104.4,lit,volcanic-hosted,False,29.03333333333333,0.4766666666666667,21.033333333333335,1.2333333333333334,,16700.0,,,533.3333333333334,2766.6666666666665,1.2266666666666668,215,34,21.446822839403783,-90.93869270924566,21.446822839403783
Songtao,China,Guizhou,sediment-hosted,660.0,,,,28.0,109.0,auto(PP1802/seed),sediment-hosted,False,24.803952,4.1613,17.15478,4.8384,,,49.0,41.0,,,2.0,6024,660,43.01811106854709,31.051365801574974,43.01811106854709
Spława,Poland,,sediment-hosted,94.0,Barnaslowka,none,amor oxides,50.0,19.0,country,sediment-hosted,False,10.4425,12.76,47.735,6.085,0.285,7577.0,379.0,218.5,132.0,8.75,0.28,302,94,42.391501551871805,30.379837054737788,42.391501551871805
Tangganshan,China,,sediment-hosted,660.0,,,rhodochrosite,28.0,109.0,region,sediment-hosted,False,42.645,5.1375,12.38,3.2566666666666664,0.2625,132.03333333333333,,66.33333333333333,144.33333333333334,72.2,1.035,6024,660,43.01811106854709,31.051365801574974,43.01811106854709
Taojiang,China,,sediment-hosted,468.0,Modaoxi,,rhodochrosite,28.5,112.2,auto(PP1802/seed),sediment-hosted,False,32.71205714285714,3.1522428571428565,7.89,0.5700000000000001,0.05,434.0,107.0,127.71428571428572,18.5,,1.5692900000000003,6023,468,-18.150436892044176,92.45590897888616,18.150436892044176
Tennengebirge,Austria,,sediment-hosted,180.0,Allgäu,Vr max 3.8%,kutnahorite,47.5,13.3,region,sediment-hosted,False,16.139999999999997,10.436666666666666,18.839999999999996,4.098000000000001,0.6363636363636362,258.0,66.33333333333333,30.333333333333332,48.666666666666664,,0.0798611111111111,334,180,30.76764554306252,27.35645937366511,30.76764554306252
Tiantaishan,China,Shaanxi,sediment-hosted,525.0,Tananpo,,,34.0,107.0,region,sediment-hosted,False,36.8125,2.5081249999999997,6.3925,0.46875,1.7112500000000002,120.625,19.125,53.75,58.1875,48.3,1.49454,6013,525,12.78108001447062,67.52685270609238,12.78108001447062
Tiouine,Morocco,,volcanic-hosted,700.0,,,braunite,30.9,-7.0,region,volcanic-hosted,False,32.995636363636365,,28.25,5.8401,,15300.0,21.0,,,,0.645,77142,700,-62.15995889486559,176.09588104096946,62.15995889486559
Tokoro,Japan,Hokkaido,volcanic-hosted,125.0,Nikoro,,braunite,44.0,144.0,lit,volcanic-hosted,False,46.495999999999995,0.562,40.018,0.638,0.0839999999999999,36549.4,83.4,196.6,291.2,,0.1783266666666666,624,125,55.11204353510923,169.0127366080643,55.11204353510923
Ulukent-Gökçeovacik,Turkey,,sediment-hosted,94.0,,,,37.5,29.3,region,sediment-hosted,False,63.78571428571428,3.7171428571428575,,2.494285714285714,0.1828571428571428,533.7142857142857,11.142857142857142,5.714285714285714,,,5.25,522,94,20.830437708593806,35.21357954632165,20.830437708593806
Um Bogma,Egypt,Sinai,karst-hosted,336.0,Um Bogma,none,pyrochroite,29.0,33.3,lit,karst-hosted,False,41.16826666666667,27.569555555555553,10.094,3.7879999999999994,0.916,5534.777777777777,207.88888888888889,273.55555555555554,251.5,408.0,2.851276266666667,508,336,-40.584638079884655,30.317558716276203,40.584638079884655
Úrkút-carbonate,Hungary,Transdanubia,sediment-hosted,183.0,,none,rhodochrosite,47.08,17.64,lit,sediment-hosted,False,28.988795859352145,9.643688636363631,18.571418333333337,3.102437837837838,1.00863,350.0285517715858,250.2758064516129,23.34333333333333,44.42857142857143,39.0,46.0,334,183,30.020614797092136,29.55057505642483,30.020614797092136
Úrkút-oxide,Hungary,Transdanubia,sediment-hosted,184.0,,none,cryptomelane,47.08,17.64,lit,sediment-hosted,True,30.74,30.528,15.91,3.07,0.33,1428.7333333333331,188.25714285714284,136.39999999999998,,,4.69,334,184,30.123455175996973,29.208832733667553,30.123455175996973
Urucum,Brazil,Mato Grosso do Sul,sediment-hosted,700.0,Santa Cruz,none,cryptomelane,-19.1333,-57.55,auto(PP1802/seed),sediment-hosted,True,51.15602,20.163174999999995,9.645765,1.6581125,0.0914285714285714,3449.375,362.6666666666667,67.0,,,186.656,201,700,-29.01309873991104,104.61873791177538,29.01309873991104
"Usa (Belaya Usa, Usinsk)",Russia,Kuznetskii-Alatau,sediment-hosted,550.0,,none,rhodochrosite,54.0,88.0,region,sediment-hosted,False,33.82520413436693,5.615900000000001,12.411,1.4739999999999998,0.211,1218.56,,707.2289156626506,,,8.436741714285715,401,550,3.950900285595912,-86.74877098791433,3.950900285595912
Vani,Greece,Milos,volcanic-hosted,1.0,,none,pyrolusite,36.7,24.4,lit,volcanic-hosted,False,38.91168831168832,2.358311688311688,18.68375,6.687272727272728,0.0357142857142857,17770.666666666668,9.75,0.5625,47.0,1309.428571428571,0.3024,346,1,36.27752226837546,24.328768500115224,36.27752226837546
Wafangzi (Wafangtzu) - carbonate,China,Liaoning,sediment-hosted,1120.0,Tieling,none - green,rhodochrosite,41.0,119.3,auto(PP1802/seed),sediment-hosted,False,40.03626917,9.6245,11.7625,2.11375,0.0996446999999999,13.87125,221.625,51.625,39.0,,8.143200000000002,601,1120,70.64559744004798,-36.18298749366251,70.64559744004798
Wafangzi (Wafangtzu) - oxide,China,Liaoning,sediment-hosted,1120.0,Tieling,none - green,"manganite, braunite",41.0,119.3,auto(PP1802/seed),sediment-hosted,True,42.312287104,21.4986,14.624,2.0,0.0529910399999999,315.6,66.6,26.8,21.8,,,601,1120,70.64559744004798,-36.18298749366251,70.64559744004798
Waziristan,Pakistan,Baluchistan,volcanic-hosted,150.0,,,braunite,32.0,69.5,region,volcanic-hosted,False,45.88,2.96,43.69,0.73,0.2481143310837634,415.0,11.0,36.0,144.0,,0.1758733333333333,5011,150,-33.966682841728634,56.781990679403094,33.966682841728634
White Oak Mtn,USA,TN,karst-hosted,345.0,Ft Payne,none,"lithiophorite, cryptomelane",35.1,-85.1,region,karst-hosted,True,45.14708812260536,0.5499999999999999,2.56,22.1,0.0673333333333333,2149.0196078431372,15130.222222222224,11170.666666666666,,,,10105,345,-21.519973548914667,-43.62880555638327,21.519973548914667
Xialei,China,Guangxi Zhuang,sediment-hosted,367.0,Wuzhistan,,rhodochrosite,23.2,106.3,lit,sediment-hosted,False,31.044760264140105,17.520555555555557,19.22888888888889,1.6177777777777775,0.33,,,492.7877947295422,,,31.005,6023,367,-1.0727404746132874,95.05538449353813,1.0727404746132874
Xiangtan,China,,sediment-hosted,660.0,,,rhodochrosite,27.9,112.5,lit,sediment-hosted,False,39.33833333333333,3.57653791130186,21.481666666666666,4.773333333333333,0.3295454545454545,3737.1666666666665,,40.333333333333336,84.66666666666667,,2.1,6023,660,46.10820968757964,31.24768914777144,46.10820968757964
Batesville,USA,Ark,sediment-hosted,455.0,,,"rhodochrosite, hausmannite",35.8,-91.6,lit,sediment-hosted,False,,,,,,,,,,,0.0375666666666666,10105,455,-12.953431648242617,-128.83566292022147,12.953431648242617
Bou Arfa,Morocco,,karst-hosted,195.0,,,"hausmannite, braunite, rhodochrosite",32.5,-1.96,lit,karst-hosted,False,,,,,,,,,,,0.86,706,195,18.757585991279313,8.028967935284683,18.757585991279313
Coquimbo,Chile,,volcanic-hosted,99.0,Arqueros,,braunite,-29.95,-71.3,region,volcanic-hosted,False,,,,,,5000.0,15.0,10.0,,,0.137,202,99,-31.268535887834638,-37.680258293520495,31.268535887834638
East Syan (Nizhneudinsk),Russia,Nizhneudinsk,sediment-hosted,700.0,Izanskaya,,"braunite, hausmannite",54.9,99.0,region,sediment-hosted,False,34.80068965517241,7.18,45.5,2.8,0.687,18714.37908496732,865.3333333333333,,,,7.5,401,700,0.5287778925872886,170.188283331768,0.5287778925872886
Eastern Cuba,Cuba,,volcanic-hosted,48.0,,,manganite,20.4,-75.8,region,volcanic-hosted,True,,,,,,,,,,,2.8600000000000003,275,48,17.308179111076296,-56.68482293258045,17.308179111076296
En Kafala,Afar,,volcanic-hosted,1.0,,,,11.5,41.0,country,volcanic-hosted,False,55.386024,0.52052,2.594251666666666,0.7717499999999999,0.106196,31200.0,5.0,7.5,,,0.08,5901,1,11.058645999859657,40.94111495282798,11.058645999859657
Falotta,Switzerland,Grison,volcanic-hosted,146.0,,greenschist,braunite,46.6,9.5,lit,volcanic-hosted,False,,,,,,,,,,,0.0,308,146,21.34891139659943,35.85282897588484,21.34891139659943
Gucheng,China,,sediment-hosted,700.0,,,,28.0,109.0,region,sediment-hosted,False,24.274559999999997,3.5035000000000003,,,1.5954545454545457,,,,,,0.5,6024,700,36.953347228321825,-5.834745091085802,36.953347228321825
Harlech Dome,United Kingdom,Wales,sediment-hosted,520.0,,chlorite,rhodochrosite,52.9,-4.0,lit,sediment-hosted,False,28.22,5.598000000000001,21.526,10.076,0.425,1164.0522875816994,,,,,0.08,315,520,-61.38299711187957,-56.25946704020302,61.38299711187957
Jiangkou,China,,sediment-hosted,600.0,,,,27.7,108.8,region,sediment-hosted,False,21.175679999999996,4.718999999999999,,,0.35,,,,,,0.1639,6024,600,23.427361251527408,75.31161767145109,23.427361251527408
Kampumba-Mansa-Chiwefwe,Zambia,,volcanic-hosted,1600.0,,,manganite,-11.2,28.9,region,volcanic-hosted,True,,,,,,,,,,,0.125,701,1600,-34.62548402435085,-114.80170642452018,34.62548402435085
Kisovece,Czechoslovakia,,sediment-hosted,28.0,,,,49.0,20.0,country,sediment-hosted,False,,,,,,,,,,,0.5,334,28,41.85822057843554,14.614378309083836,41.85822057843554
Langban,Sweden,Varmland,volcanic-hosted,1800.0,,,braunite,59.86,14.27,lit,volcanic-hosted,False,,,,,,,,,,,0.125,30204,1800,59.85999999999999,14.27,59.85999999999999
Magnitogorsk,Russia,,volcanic-hosted,370.0,,,"braunite, rhodonite",53.4,59.0,lit,volcanic-hosted,False,45.15,4.5,,,,,,,,,0.6,302,370,6.9619861854439735,-4.289323928426547,6.9619861854439735
Maliuba,China,,sediment-hosted,600.0,,,,28.0,109.0,region,sediment-hosted,False,18.7224,0.7865,,,4.659090909090908,,,,,,0.145,6024,600,23.704401610942703,75.08142409120069,23.704401610942703
Nagpur-Bhandara,India,Madhya Pradesh and Maharashtra,sediment-hosted,910.0,Mansur (Mansar),,,21.4,79.5,lit,sediment-hosted,False,,8.866,,,,,,,,,44.0,50102,910,53.9282216512372,-51.18850146492946,53.9282216512372
Oldakit,Russia,,sediment-hosted,530.0,,,,56.0,116.0,country,sediment-hosted,False,18.06,9.295,,,0.19465,,,,,,1.03,401,530,4.14090407784668,-85.07574602600752,4.14090407784668
Olympic Peninsula,USA,WA,volcanic-hosted,40.0,,,"braunite, hausmannite",47.8,-124.0,region,volcanic-hosted,False,,,,,,,,,,,0.013,1731,40,53.996921072795274,-98.31166973060893,53.996921072795274
Perstentevskii,Khazakstan,Atasu,volcanic-hosted,370.0,Karadzhal,chlorite,"braunite, jacobsite, hausmannite (after rhodochrosite)",48.7,73.3,region,volcanic-hosted,False,,,,,,,,,,,31.855,461,370,15.863633792976263,56.977603636205664,15.863633792976263
Polunochnoe (Polunochnoye),Russia,,sediment-hosted,60.0,,,rhodochrosite,60.9,60.4,lit,sediment-hosted,False,27.367272727272727,7.007000000000001,,,0.4545454545454546,,,,,,10.6,390,60,54.5963105456491,52.20929753880636,54.5963105456491
Quinquinhe,Angola,,sediment-hosted,900.0,,,"manganite, rhodonite",-12.0,16.0,country,sediment-hosted,True,,,,,,,,,,,2.0,701,900,-42.909130907424576,27.710356440932433,42.909130907424576
Soloviejo,Spain,Huelva,volcanic-hosted,335.0,Manganiferous Fmn,,"rhodonite, rhodochrosite, pyrolusite",37.7,-6.7,region,volcanic-hosted,False,,,,,,,,,,,0.06125,304,335,-13.789808682771854,2.925408811726613,13.789808682771854
Takhta-Karacha,Uzbekistan,Zeravshan,sediment-hosted,421.0,,,rhodochrosite,39.5,67.0,region,sediment-hosted,False,20.64,22.8,,0.45,,,,,,,0.172,4672,421,20.030521631937148,37.22467166265915,20.030521631937148
Tanncherfi-Narguechoum,Morocco,,volcanic-hosted,256.0,,,,34.0,-2.9,region,volcanic-hosted,False,,,,,,,,,,,0.0689999999999999,706,256,5.418439967972428,11.641855300670352,5.418439967972428
Tiharatine,Morocco,,karst-hosted,195.0,,,,30.9,-7.0,region,karst-hosted,False,,,,,,,,,,,0.065,77142,195,18.85818376013546,3.195627446030431,18.85818376013546
Timna,Israel,,karst-hosted,501.0,Timna,none,pyrolusite,29.8,35.0,lit,karst-hosted,False,,,,,,,,,,,3.0,508,501,-69.04967233166641,85.13349680625615,69.04967233166641
Uda River,,,volcanic-hosted,530.0,,,braunite,54.0,98.0,country,volcanic-hosted,False,,,,,,,,,,,43.0,401,530,-0.782509781468196,-75.8121712919292,0.782509781468196
Ultevis,Sweden,,volcanic-hosted,1500.0,,,braunite,67.0,18.0,region,volcanic-hosted,False,,,,,,,,,,,5.0,30202,1500,-2.983856746099364,-151.126107417386,2.983856746099364
