deposit_name,country,state,deposit_type,age_Ma,host_formation,metamorphic_grade,mineral,latitude,longitude,coord_confidence,host_class,supergene
Morro da Mina,Brazil,,sediment-hosted,2700.0,Rio das Velhas,,rhodochrosite,-20.5833,-43.8333,auto(PP1802/seed),sediment-hosted,False
Nagpur-Bhandara,India,Madhya Pradesh and Maharashtra,sediment-hosted,910.0,Mansur (Mansar),,,21.4,79.5,lit,sediment-hosted,False
North Kanara,India,Karnataka,volcanic-hosted,2900.0,,,braunite,14.8,74.5,region,volcanic-hosted,False
Oldakit,Russia,,sediment-hosted,530.0,,,,56.0,116.0,country,sediment-hosted,False
Olympic Peninsula,USA,WA,volcanic-hosted,40.0,,,"braunite, hausmannite",47.8,-124.0,region,volcanic-hosted,False
Panch Mahals,India,,sediment-hosted,2100.0,,,braunite,22.8,73.8,region,sediment-hosted,False
Perstentevskii,Khazakstan,Atasu,volcanic-hosted,370.0,Karadzhal,chlorite,"braunite, jacobsite, hausmannite (after rhodochrosite)",48.7,73.3,region,volcanic-hosted,False
Polunochnoe (Polunochnoye),Russia,,sediment-hosted,60.0,,,rhodochrosite,60.9,60.4,lit,sediment-hosted,False
Quinquinhe,Angola,,sediment-hosted,900.0,,,"manganite, rhodonite",-12.0,16.0,country,sediment-hosted,True
Ravensthorpe,Australia,WA,volcanic-hosted,2764.0,,,pyrolusite,-33.6,120.0,lit,volcanic-hosted,False
Sagan-Zaba,Russia,,sediment-hosted,2700.0,Ozersk,amphibolite,Mn-calcite,52.8,106.3,lit,sediment-hosted,False
Soloviejo,Spain,Huelva,volcanic-hosted,335.0,Manganiferous Fmn,,"rhodonite, rhodochrosite, pyrolusite",37.7,-6.7,region,volcanic-hosted,False
Takhta-Karacha,Uzbekistan,Zeravshan,sediment-hosted,421.0,,,rhodochrosite,39.5,67.0,region,sediment-hosted,False
Tanncherfi-Narguechoum,Morocco,,volcanic-hosted,256.0,,,,34.0,-2.9,region,volcanic-hosted,False
Tiere,Burkina Fasso,,sediment-hosted,2300.0,,,,14.5,-0.2,country,sediment-hosted,False
Tiharatine,Morocco,,karst-hosted,195.0,,,,30.9,-7.0,region,karst-hosted,False
Timna,Israel,,karst-hosted,501.0,Timna,none,pyrolusite,29.8,35.0,lit,karst-hosted,False
Uda River,,,volcanic-hosted,530.0,,,braunite,54.0,98.0,country,volcanic-hosted,False
Ultevis,Sweden,,volcanic-hosted,1500.0,,,braunite,67.0,18.0,region,volcanic-hosted,False
Ulu-Telyak (Teliak),Russia,Urals,sediment-hosted,258.0,Artinsk,,rhodochrosite,54.9,56.9,region,sediment-hosted,False
Urandi,Brazil,Bahia,sediment-hosted,3265.0,,,jacobsite,-14.8,-42.7,lit,sediment-hosted,False
Ushkatyn III,Kazakhstan,Atasu,volcanic-hosted,370.0,Karadzhal,chlorite,"braunite, jacobsite, hausmannite (after rhodochrosite)",48.7,73.3,lit,volcanic-hosted,False
Xinrong,China,Guangdong,karst-hosted,381.0,,none,cryptomelane,22.5,111.5,lit,karst-hosted,True
Derbent,Turkey,,volcanic-hosted,94.0,Artova ophiolite,,"pyrolusite, braunite",40.0,33.0,country,volcanic-hosted,False
Eymir,Turkey,,volcanic-hosted,94.0,Artova ophiolite,,"pyrolusite, braunite",40.0,33.0,country,volcanic-hosted,False
Katsuyama,Japan,,volcanic-hosted,179.0,,,,35.1,134.0,region,volcanic-hosted,False
Manuels River,Canada,Newfoundland,sediment-hosted,517.0,,none,rhodochrosite,47.5,-52.9,lit,sediment-hosted,False
Pipji - karstic?,Switzerland,,sediment-hosted,230.0,Barrhorn Series,none,"kutnahorite, jacobsite",46.2,7.6,region,sediment-hosted,False
Vittinki,Finland,,volcanic-hosted,1950.0,Vittinki Grp,amphibolite-granulite,"rhodoniite, pyroxmangite",62.8,22.8,region,volcanic-hosted,False
Cuyuna IF,USA,MI ,sediment-hosted,2060.0,Animikie Group,,"psilomelane, manganite",46.5,-93.9,lit,sediment-hosted,True
Nigerian IF,Nigeria,,sediment-hosted,2300.0,Maru schist,amphibolite,garnet,10.0,8.0,country,sediment-hosted,False
