lat,lon,paleo_lat,paleo_lon,age_mid,group,genesis_class,occ_class,plate_id
24.232777777778,34.83416666666699,24.232777777778,34.83416666666699,1520.5,C,Metamorphic Mn silicate,metased,5905
5.5166666666667,39.03333333333299,-51.08452084353764,100.02947663211692,529.0,C,Metamorphic Mn silicate,metased,77531
60.668888888889,15.050277777778009,17.389668741454145,177.02439105651283,1800.0,B,Burial diagenetic carbonate,primary,30202
22.949722222222,74.51666666666699,15.893165051505434,-104.37086605924065,1800.0,C,Metamorphic Mn silicate,metased,50101
62.574166666667,23.237222222221988,17.443728685439293,-178.06920383650927,1797.0,C,Metamorphic Mn silicate,metased,30202
48.547222222222,-3.081666666666706,48.547222222222,-3.081666666666706,0.0035,B,Burial diagenetic carbonate,primary,305
48.547222222222,-3.081666666666706,48.547222222222,-3.081666666666706,0.0035,C,Metamorphic Mn silicate,metased,305
-19.076666666667,-41.495555555555995,-59.563986044036504,-32.36072897137089,338.0,C,Metamorphic Mn silicate,metased,201
43.709166666667,3.3366666666667015,30.224591911027723,23.62939000719652,201.5,B,Burial diagenetic carbonate,primary,305
43.761388888889,2.2463888888889016,-75.74552244182549,5.1533254629885,464.6,B,Burial diagenetic carbonate,primary,305
48.660555555556,8.696944444444398,37.198392186814594,33.926051047138884,128.5,B,Burial diagenetic carbonate,primary,305
48.126388888889,7.919166666666712,36.88545896901309,28.62635731527283,179.45,A,Marine hydrogenetic/early diagenetic oxide,primary,305
48.126388888889,7.919166666666712,5.549560645795866,24.428567549423494,305.4,A,Marine hydrogenetic/early diagenetic oxide,primary,305
48.660555555556,8.696944444444398,37.198392186814594,33.926051047138884,128.5,B,Burial diagenetic carbonate,primary,305
48.126388888889,7.919166666666712,18.874355017482436,29.66186998141819,251.95,A,Marine hydrogenetic/early diagenetic oxide,primary,305
48.383055555556,8.246388888888902,20.382414989417217,29.32355497032311,248.5,B,Burial diagenetic carbonate,primary,305
48.383055555556,8.246388888888902,20.382414989417217,29.32355497032311,248.5,A,Marine hydrogenetic/early diagenetic oxide,primary,305
48.148888888889,7.6027777777777885,42.856749837481566,5.990658547807927,17.1,A,Marine hydrogenetic/early diagenetic oxide,primary,305
49.146388888889,8.621388888888902,38.656362655392,33.57851406764525,123.5,A,Marine hydrogenetic/early diagenetic oxide,primary,375
49.946666666667,9.23527777777781,-1.4287483900197437,21.100163553652433,332.0,C,Metamorphic Mn silicate,metased,375
49.946666666667,9.23527777777781,-1.4287483900197437,21.100163553652433,332.0,A,Marine hydrogenetic/early diagenetic oxide,primary,375
62.549722222222,155.75,75.0349762570633,-179.1110797683726,129.5,B,Burial diagenetic carbonate,primary,43400
62.549722222222,155.75,75.0349762570633,-179.1110797683726,129.5,A,Marine hydrogenetic/early diagenetic oxide,primary,43400
49.650277777778,12.459444444443989,13.444234425630077,29.472307321092636,282.764,B,Burial diagenetic carbonate,primary,374
49.570555555556,8.781388888888898,-15.672936861193895,11.71671100417408,346.9,A,Marine hydrogenetic/early diagenetic oxide,primary,375
49.706944444444,8.650277777777802,-15.629628139861914,11.556042085775587,346.9,C,Metamorphic Mn silicate,metased,375
49.6875,8.888333333333293,-15.539949329184555,11.687549253440034,346.9,B,Burial diagenetic carbonate,primary,375
49.706944444444,8.650277777777802,-15.629628139861914,11.556042085775587,346.9,C,Metamorphic Mn silicate,metased,375
49.706944444444,8.650277777777802,-15.629628139861914,11.556042085775587,346.9,C,Metamorphic Mn silicate,metased,375
49.6875,8.888333333333293,-15.539949329184555,11.687549253440034,346.9,B,Burial diagenetic carbonate,primary,375
49.6875,8.888333333333293,-15.539949329184555,11.687549253440034,346.9,B,Burial diagenetic carbonate,primary,375
49.6875,8.888333333333293,-15.539949329184555,11.687549253440034,346.9,B,Burial diagenetic carbonate,primary,375
51.817222222222,10.253055555555989,40.82063594544913,23.331633976686366,192.0,B,Burial diagenetic carbonate,primary,315
51.831944444444,10.398611111110997,40.89068228362709,23.40876841242621,192.0,A,Marine hydrogenetic/early diagenetic oxide,primary,315
51.817222222222,10.253055555555989,40.82063594544913,23.331633976686366,192.0,B,Burial diagenetic carbonate,primary,315
51.831944444444,10.398611111110997,40.89068228362709,23.40876841242621,192.0,A,Marine hydrogenetic/early diagenetic oxide,primary,315
51.711388888889,10.511944444443998,38.293569312011506,35.763697412198624,135.7,B,Burial diagenetic carbonate,primary,315
51.315833333333,8.411388888888894,9.865068791548186,24.61077794227449,294.5,A,Marine hydrogenetic/early diagenetic oxide,primary,315
50.982222222222,8.018055555555605,-2.4768553774182913,10.142579676252355,337.5,A,Marine hydrogenetic/early diagenetic oxide,primary,315
50.857777777778,7.969166666666695,-2.598735230963337,10.182387792871324,337.5,B,Burial diagenetic carbonate,primary,315
50.857777777778,7.969166666666695,-2.598735230963337,10.182387792871324,337.5,B,Burial diagenetic carbonate,primary,315
50.857777777778,7.969166666666695,-2.598735230963337,10.182387792871324,337.5,B,Burial diagenetic carbonate,primary,315
50.982222222222,8.018055555555605,-2.4768553774182913,10.142579676252355,337.5,A,Marine hydrogenetic/early diagenetic oxide,primary,315
50.857777777778,7.969166666666695,-2.598735230963337,10.182387792871324,337.5,B,Burial diagenetic carbonate,primary,315
50.857777777778,7.969166666666695,-2.598735230963337,10.182387792871324,337.5,B,Burial diagenetic carbonate,primary,315
50.857777777778,7.969166666666695,-2.598735230963337,10.182387792871324,337.5,B,Burial diagenetic carbonate,primary,315
50.982222222222,8.018055555555605,-2.4768553774182913,10.142579676252355,337.5,A,Marine hydrogenetic/early diagenetic oxide,primary,315
50.429166666667,7.228055555555613,7.818493241051611,23.174400911155754,301.0,C,Metamorphic Mn silicate,metased,315
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.871666666667,6.881111111111096,7.22395597411751,23.257288886590338,301.0,A,Marine hydrogenetic/early diagenetic oxide,primary,315
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
50.351666666667,7.233888888888913,50.351666666667,7.233888888888915,0.4,C,Metamorphic Mn silicate,metased,315
50.351666666667,7.233888888888913,50.351666666667,7.233888888888915,0.4,C,Metamorphic Mn silicate,metased,315
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
50.429166666667,7.228055555555613,7.818493241051611,23.174400911155754,301.0,C,Metamorphic Mn silicate,metased,315
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
50.429166666667,7.228055555555613,7.818493241051611,23.174400911155754,301.0,C,Metamorphic Mn silicate,metased,315
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
50.429166666667,7.228055555555613,7.818493241051611,23.174400911155754,301.0,C,Metamorphic Mn silicate,metased,315
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
50.429166666667,7.228055555555613,7.818493241051611,23.174400911155754,301.0,C,Metamorphic Mn silicate,metased,315
50.381666666667,7.267777777777809,7.7898251399124145,23.220382700247562,301.0,C,Metamorphic Mn silicate,metased,315
49.871666666667,6.881111111111096,7.22395597411751,23.257288886590338,301.0,A,Marine hydrogenetic/early diagenetic oxide,primary,315
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
50.159166666667,6.811388888888899,7.452259170685521,23.07540753666551,301.0,A,Marine hydrogenetic/early diagenetic oxide,primary,315
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
49.591666666667,7.889444444444393,7.305031936929734,23.96768988699456,301.0,B,Burial diagenetic carbonate,primary,375
50.640555555556,12.978055555556011,3.449717860367724,24.83835604661495,321.5,B,Burial diagenetic carbonate,primary,375
50.435555555556,12.70666666666699,-16.643880017423548,10.976638429184662,350.0,B,Burial diagenetic carbonate,primary,375
50.586111111111,12.636944444443998,33.88645716854938,24.444998441970856,223.2,C,Metamorphic Mn silicate,metased,375
50.575277777778,12.613055555556002,34.4485371562514,24.06826712595263,221.5,B,Burial diagenetic carbonate,primary,375
50.856666666667,13.302222222221983,-22.656250693996764,7.24024006232155,360.5,B,Burial diagenetic carbonate,primary,375
50.856666666667,13.302222222221983,-22.656250693996764,7.24024006232155,360.5,B,Burial diagenetic carbonate,primary,375
50.856666666667,13.302222222221983,-22.656250693996764,7.24024006232155,360.5,B,Burial diagenetic carbonate,primary,375
50.856666666667,13.302222222221983,-22.656250693996764,7.24024006232155,360.5,B,Burial diagenetic carbonate,primary,375
50.396944444444,12.136666666666995,17.05648533597026,29.94378057524524,275.0,B,Burial diagenetic carbonate,primary,375
51.776388888889,10.770277777778006,11.239700922715297,26.071606795329917,292.5,B,Burial diagenetic carbonate,primary,315
51.776388888889,10.770277777778006,11.239700922715297,26.071606795329917,292.5,B,Burial diagenetic carbonate,primary,315
51.776388888889,10.770277777778006,11.239700922715297,26.071606795329917,292.5,C,Metamorphic Mn silicate,metased,315
51.776388888889,10.770277777778006,11.239700922715297,26.071606795329917,292.5,C,Metamorphic Mn silicate,metased,315
51.696111111111,10.749166666667008,11.163758115967996,26.101295125244764,292.5,A,Marine hydrogenetic/early diagenetic oxide,primary,315
-36.822222222222,175.60666666666998,-42.319539448951176,-173.6126485336849,34.3,A,Marine hydrogenetic/early diagenetic oxide,primary,806
50.5,11.506944444444002,9.414332161475572,25.571217986091078,300.0,B,Burial diagenetic carbonate,primary,375
37.736111111111,24.032222222222003,33.66090804753447,23.169465333959288,8.5,C,Metamorphic Mn silicate,metased,308
37.728333333333,24.024166666666986,32.40073874325657,22.84374706455302,11.9,A,Marine hydrogenetic/early diagenetic oxide,primary,308
37.728333333333,24.024166666666986,32.40073874325657,22.84374706455302,11.9,A,Marine hydrogenetic/early diagenetic oxide,primary,308
37.733333333333,24.018611111111,32.4055782020692,22.83833419278897,11.9,A,Marine hydrogenetic/early diagenetic oxide,primary,308
37.76,24.02944444444401,32.43253459059312,22.84734386668491,11.9,B,Burial diagenetic carbonate,primary,308
37.733333333333,24.018611111111,32.4055782020692,22.83833419278897,11.9,A,Marine hydrogenetic/early diagenetic oxide,primary,308
37.928888888889,-114.47194444444,39.524188551134614,-101.7700254046365,24.5,B,Burial diagenetic carbonate,primary,10103
40.600555555556,23.74833333333299,35.575769901704916,21.41931712181238,24.5,C,Metamorphic Mn silicate,metased,349
37.928888888889,-114.47194444444,39.524188551134614,-101.7700254046365,24.5,B,Burial diagenetic carbonate,primary,10103
40.600555555556,23.74833333333299,35.575769901704916,21.41931712181238,24.5,C,Metamorphic Mn silicate,metased,349
37.928888888889,-114.47194444444,39.524188551134614,-101.7700254046365,24.5,B,Burial diagenetic carbonate,primary,10103
37.928888888889,-114.47194444444,39.524188551134614,-101.7700254046365,24.5,B,Burial diagenetic carbonate,primary,10103
37.928888888889,-114.47194444444,39.524188551134614,-101.7700254046365,24.5,B,Burial diagenetic carbonate,primary,10103
14.833055555556,-88.083055555556,13.683274366179736,-81.90066882250017,17.0,B,Burial diagenetic carbonate,primary,204
36.624444444444,-117.12138888889,42.163792436964606,-93.69889213244821,44.95,A,Marine hydrogenetic/early diagenetic oxide,primary,178
47.933333333333,18.833333333333,42.821300884946545,14.471042726442748,14.0,B,Burial diagenetic carbonate,primary,334
47.933333333333,18.833333333333,42.821300884946545,14.471042726442748,14.0,B,Burial diagenetic carbonate,primary,334
47.933333333333,18.833333333333,42.821300884946545,14.471042726442748,14.0,B,Burial diagenetic carbonate,primary,334
21.683333333333,79.73333333333301,49.25016302121445,-53.11393481059397,925.0,C,Metamorphic Mn silicate,metased,50102
35.639166666667,-83.447222222222,-6.506737930385158,108.42096619932937,925.0,C,Metamorphic Mn silicate,metased,101
22.949722222222,74.51666666666699,-5.200520801313727,-108.15536268078331,1750.0,C,Metamorphic Mn silicate,metased,50101
22.058055555556,83.921388888889,-20.10426442704476,-163.2828395502261,1665.0,C,Metamorphic Mn silicate,metased,50102
43.15,140.63333333333003,48.83195730183162,138.80491921675682,19.5,B,Burial diagenetic carbonate,primary,625
44.335833333333,9.47527777777779,28.963912949909158,26.741660949221707,100.0,C,Metamorphic Mn silicate,metased,307
38.054166666667,-120.65805555556,45.43441778611031,-74.39542502138585,100.0,B,Burial diagenetic carbonate,primary,176
38.066111111111,-120.51361111111,45.42040907153051,-74.23370855859734,100.0,C,Metamorphic Mn silicate,metased,176
44.345277777778,9.458888888888907,28.978179007665993,26.73617128058227,100.0,C,Metamorphic Mn silicate,metased,307
38.054166666667,-120.65805555556,45.43441778611031,-74.39542502138585,100.0,B,Burial diagenetic carbonate,primary,176
38.066111111111,-120.51361111111,45.42040907153051,-74.23370855859734,100.0,C,Metamorphic Mn silicate,metased,176
44.335833333333,9.47527777777779,28.963912949909158,26.741660949221707,100.0,C,Metamorphic Mn silicate,metased,307
44.345277777778,9.458888888888907,28.978179007665993,26.73617128058227,100.0,C,Metamorphic Mn silicate,metased,307
38.054166666667,-120.65805555556,45.43441778611031,-74.39542502138585,100.0,B,Burial diagenetic carbonate,primary,176
38.066111111111,-120.51361111111,45.42040907153051,-74.23370855859734,100.0,C,Metamorphic Mn silicate,metased,176
38.054166666667,-120.65805555556,45.43441778611031,-74.39542502138585,100.0,C,Metamorphic Mn silicate,metased,176
46.547222222222,9.654166666666695,29.176176302116595,33.17388821253958,112.0,C,Metamorphic Mn silicate,metased,308
40.073055555556,141.80805555556003,50.193387629218144,161.82552046016235,112.0,C,Metamorphic Mn silicate,metased,625
46.547222222222,9.654166666666695,29.176176302116595,33.17388821253958,112.0,B,Burial diagenetic carbonate,primary,308
46.547222222222,9.654166666666695,29.176176302116595,33.17388821253958,112.0,C,Metamorphic Mn silicate,metased,308
40.073055555556,141.80805555556003,50.193387629218144,161.82552046016235,112.0,C,Metamorphic Mn silicate,metased,625
46.547222222222,9.654166666666695,29.176176302116595,33.17388821253958,112.0,A,Marine hydrogenetic/early diagenetic oxide,primary,308
46.119722222222,9.324444444444396,23.705529599107194,24.696359338160047,215.0,C,Metamorphic Mn silicate,metased,308
46.249444444444,9.951388888888914,46.249444444444,9.951388888888914,1050.0,C,Metamorphic Mn silicate,metased,308
