deposit,type,age_Ma,country,tonnage_production,tonnage_reserves,tonnage_total_metal,n_analyses,MnO(%),Fe2O3 t,SiO2 (%),Al2O3 (%),CaO(%),MgO(%),K2O(%),Na2O(%),P2O5,TiO2 (%),LOI (%),As,Ba,Cd,Co,Cr,Cu,Mo,Nb,Ni,Pb,Rb,Sc,Sr,Th,U,V,Y,Zn,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,LaCN,CeCN,PrCN,NdCN,SmCN,EuCN,GdCN,TbCN,YbCN,Ce/Ce*,Eu/Eu*,LaN/YbN,Ce/Ce* @Alo,Eu/Eu* @Alo,LaN/YbN @Alo,% Ccarb,% Corg,δ13Ccarb pdb,δ13Ccarb pdb_1,δ13Corg,δ18Ocarb pdb,δ18Ocarb smow,δ18Ocarb pdb_1,δ18Ocarb smow_1,% Stotal,δ34S pyrite,δ34S barite,δ34S gypsum
Bronkhorstfontein,sedimentary,1880.0,Zuid Afrika,15,10,8.75,19,40.9897309090909,22.336363636363636,25.918181818181814,0.7454545454545454,0.18818181818181817,0.0393,0.8990909090909092,,0.09545454545454546,0.05363636363636364,5.427272727272729,,806.0909090909091,,237.5,133.7,254.8,,,34.0,20.11,,,,5.07,,156.8,18.0,53.8,55.05,49.75,173.05,11.4,44.5,9.940000000000001,1.98,7.63,1.0550000000000002,0.0,0.0,0.0,0.0,2.83,0.0,135.55858310626704,180.82549634273775,83.21167883211679,62.587904360056264,43.03030303030303,22.758620689655174,24.934640522875817,18.189655172413794,11.411290322580646,1.7025662234741779,0.6947957922495456,11.879338731573931,1.7025662234741779,0.6947957922495456,11.879338731573931,,,,,,,,,,,,,
Buckeye-Ladd-Thomas,volcanogenic,145.0,USA,0.063,,0.021252,,42.76333333333333,1.5933333333333335,33.25333333333333,2.0933333333333333,1.8566666666666667,2.57,0.15000000000000002,0.5133333333333333,0.11,0.16,15.326666666666668,53.23333333333333,1340.3333333333333,,29.933333333333334,10.0,117.33333333333333,0.0,0.0,301.1666666666667,0.0,1.6500000000000001,0.0,454.40000000000003,0.63,2.1266666666666665,217.9333333333333,13.566666666666668,336.96666666666664,3.5700000000000003,2.65,7.066666666666667,0.0,3.266666666666666,0.8366666666666668,0.20333333333333337,0.8766666666666666,0.15333333333333335,0.0,0.0,0.0,0.09999999999999999,0.7266666666666666,0.12,7.220708446866485,7.384186694531523,4.7427369322883415,4.594467885607126,3.621933621933622,2.337164750957855,2.864923747276688,2.64367816091954,2.93010752688172,1.0300341701285025,0.6893782770783131,4.020121567805492,0.7421918805713429,0.5732722030209321,3.898553762313981,,,-36.4,,,,21.737499999999997,,,,,,
Çayirh,volcanogenic,85.0,Turkey,,0.5,0.11,,28.406399999999998,1.859,,,,,,,,,,,1000.0,,70.0,,200.0,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Çevretepe-Dozuztekne,volcanogenic,85.0,Turkey,,0.5,0.07251111111111111,9,18.915942028985505,36.29181111111111,,2.5031888888888885,,,,,0.956075,0.11199999999999999,,,,,975.0,,1137.5,,,550.0,250.0,,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changyang,sedimentary,660.0,China,,1,0.045599999999999995,,5.922077922077921,4.5188,23.593169999999997,4.895099999999999,,,,,,,,,,,63.0,,47.0,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiatura (Tchiatura)-Kvirila,sedimentary,28.0,Georgia,,900,225,,48.44849992331877,1.6291666666666667,14.740833333333335,3.5208333333333335,5.2475,1.8583333333333332,0.50075,0.49249999999999994,0.22,0.172,16.560833333333335,,3314.557217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.031136363636364,,-7.1,-10.131250000000001,,,23.6,,25.3875,0.32032,,,
Datangpo,sedimentary,660.0,China,,1,0.23170000000000002,,39.92528603034134,2.65375,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.675,,,,26.656,,,,,,
Dawashan,sedimentary,444.0,China,,,0.48,8,34.4875,3.2972500000000005,7.2425,1.8362499999999997,13.982500000000002,5.0675,0.21875,0.11000000000000001,0.16749999999999998,0.060000000000000005,32.75,,3169.05,,61.8375,282.25,25.342499999999998,0.9924999999999999,,242.3625,144.1,,,206.95,,,57.7625,,115.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.435,,-13.330000000000002,,,,-8.32,22.386000000000003,,,,,
Dounan-Baixian-Heishui,sedimentary,230.0,China,,50,13,34,39.78666666666667,1.545,11.295,2.275,16.013333333333335,2.91,0.315,0.34,0.16666666666666666,0.12166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6,,,,,,,,,,
Drimos-Aroania,volcanogenic,152.0,Greece,,,0.01,16,28.122000000000003,0.3,57.548,0.7399999999999999,0.73,0.659,0.007000000000000001,0.17800000000000002,0.038,0.026000000000000002,11.518,,6085.222222222223,,149.44444444444446,12.666666666666666,,,1.6666666666666667,129.88888888888889,42.666666666666664,,,,,,194.44444444444446,17.666666666666668,44.888888888888886,28.0,,18.0,,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Carpathians,volcanogenic,488.0,Romania,10,,2.8826666666666667,19,36.354545454545445,13.395454545454545,20.798181818181817,1.12,3.2281818181818185,2.4454545454545458,0.1511111111111111,0.51,0.4227272727272727,0.088,22.50909090909091,,265.0,,36.537499999999994,16.0375,60.1625,,1.9,82.9625,10.1175,,2.948888888888889,,,1.6275,36.6625,19.025000000000002,78.375,40.0,10.2,39.0,2.06,8.21,1.53,0.31,1.31,0.18,0.9,0.18,0.51,0.07,0.46,0.06,27.792915531335147,40.75235109717868,15.036496350364963,11.547116736990157,6.623376623376624,3.563218390804598,4.281045751633987,3.1034482758620685,3.6290322580645165,1.9934818636838052,0.6691566236211566,,1.8072,0.7277,,,,-10.995000000000001,-11.315000000000001,-24.400000000000002,-8.120000000000001,22.585999999999995,-13.015,17.691,,,,
Elazig district,volcanogenic,44.0,Turkey,,,0.38,19,23.895499999999995,34.986999999999995,20.159,3.566999999999999,7.9754999999999985,1.0219999999999998,0.04250000000000001,0.07050000000000003,0.9680000000000002,0.14650000000000002,,194.46999999999997,1741.05,,66.53,18.473684210526315,576.25,13.359999999999996,4.1049999999999995,739.355,127.00999999999999,,6.7,805.295,1.6399999999999995,2.7299999999999995,589.05,125.13000000000002,304.06,70.94,144.575,34.675,31.776000000000003,131.64000000000001,23.676000000000002,6.003,26.84149999999999,4.353,23.312999999999995,4.407500000000001,12.9745,1.6375,10.430499999999999,1.4645000000000001,393.93732970027247,36.233019853709514,231.941605839416,185.1476793248945,102.49350649350649,75.47892720306513,87.7173202614379,75.05172413793103,42.05846774193548,0.1160126981469819,0.7275136909464113,9.118462915640903,0.1,0.7054,,,,,,,,,,,,,,
Faizuly,volcanogenic,395.0,Russia,,1.5,0.2625,,47.41875000000001,1.536875,33.525,1.28,2.4250000000000003,1.94875,0.17250000000000001,,0.10769230769230773,0.07692307692307693,11.698749999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.86875,,,,17.106249999999996,,,,,,
Forari,volcanogenic,1.0,New Hebrides,1.3,0.3,0.48,5,36.35,18.3744,12.396,16.922,0.8619999999999999,0.514,,,,1.05,,,4586.266094420601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambatesa-Molinello,volcanogenic,146.0,Italy,,1.2,0.36,8,45.978238408842714,0.4770074062016765,44.94255153888476,0.8485787451984635,1.6472418798766106,0.23214315096668037,0.13469658219018835,0.107225473526039,,0.049775748566574636,,,1770.0,113.0,19.05,351.7,78.9,1.65,0.11024999999999999,3.6399999999999997,0.0,8.55,65.1,0.0,,0.11025,,,68.375,,1.72,5.0,,2.74,0.68,0.173,,0.09900990099009901,,,,,0.23,,4.686648501362398,5.2246603970741905,4.113467802431663,3.8537271448663857,2.943722943722944,1.9885057471264367,2.0470701838180902,1.7070672584499829,0.9274193548387097,1.1899338637936878,0.8100503569949173,5.053429688425542,1.1899338637936878,0.8100503569949173,5.053429688425542,,,,,,,,,,,,,
Gaoyan,sedimentary,660.0,China,,15,3.0795000000000003,,33.955555555555556,4.671333333333333,17.066666666666666,0.0,6.199999999999999,3.5237500000000006,0.0,0.0,0.27999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9,,,,27.560000000000002,,,,,,
Gonzen,sedimentary,156.0,Switzerland,,0.5,0.1589938888888889,11,41.47666666666667,5.096666666666667,1.6966666666666665,1.07,11.326666666666668,2.8833333333333333,0.06666666666666667,0.0,0.02666666666666667,0.04666666666666667,31.01666666666667,33.333333333333336,18500.0,,14.5,41.666666666666664,14.333333333333334,,,134.33333333333334,6.666666666666667,,,,,,,,31.666666666666668,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7337499999999997,,,,25.3025,,,,,,
Groote Eylandt,sedimentary,99.0,Australia,48,400,179.2,27,58.111309898989916,4.516481481481482,13.185170370370372,5.23837037037037,0.2965217391304347,0.13,0.2826086956521739,1.1691304347826086,0.05594086021505377,0.31917333333333325,3.3586956521739126,,5097.923026744946,,77.6,15.125,107.5,66.25,,253.0,63.25,,7.75,,5.25,,,,108.75,51.25,50.75,65.0,,67.0,16.6,4.45,21.625,,,,,,5.7250000000000005,,138.283378746594,67.92058516196448,106.62550046238844,94.23347398030943,71.86147186147186,51.14942528735632,70.66993464052288,,23.08467741935484,0.5593528901435747,0.7177535669761527,5.9902668871887,0.5593528901435747,0.7177535669761527,5.9902668871887,,,,,,,,,,,,,
Guichi,sedimentary,270.0,China,,,,1,20.7,0.56,6.52,0.46,33.3,2.92,0.08,0.03,0.15,0.01,34.2,,28.7,,1.0,35.5,20.1,1.19,2.5,129.0,17.0,3.0,1.15,2204.0,,,104.0,12.3,82.3,,13.5,9.4,1.92,6.05,1.26,0.29,2.09,0.31,1.69,0.41,0.96,0.14,1.14,0.12,36.78474114441417,9.822361546499478,13.861591115510794,8.509142053445851,5.454545454545454,3.3333333333333335,5.381152771928806,5.344827586206896,4.596774193548387,0.43498624263643465,0.6152644208764481,8.00229456474975,0.3656,0.432605197497647,0.5461186812727503,,,1.6666666666666667,1.0,,-8.166666666666666,22.48333333333333,-3.4,27.4,0.42,,,
Hawasina,volcanogenic,146.0,Oman,,0.5,0.14643333333333336,5,41.98,1.8671428571428572,46.99571428571429,0.8957142857142858,0.6785714285714287,0.27,0.21285714285714286,0.04857142857142858,0.10999999999999999,0.06285714285714286,2.764285714285714,,1504.0,,135.85714285714286,173.71428571428572,64.0,,19.428571428571427,160.14285714285714,7.142857142857143,12.428571428571429,1.5,398.57142857142856,17.714285714285715,16.142857142857142,305.42857142857144,26.285714285714285,58.42857142857143,43.142857142857146,77.92857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huayuan,sedimentary,660.0,China,,1,0.1985,,31.494806999999998,2.4882,10.84473,1.3418999999999999,,,,,0.5318181818181819,,,,,,19.0,,15.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imini,karst/other,95.0,Morocco,7.5,10,10.0625,8,61.94306441744603,1.3464285714285713,7.742857142857143,2.0142857142857147,2.302857142857143,1.4625000000000001,0.2842857142857143,0.3971428571428572,0.18785714285714286,0.14846153846153848,11.691428571428572,42.107142857142854,26521.6,,26.928571428571427,195.85714285714286,891.0714285714286,,,59.857142857142854,20926.809316853672,2.5071428571428567,,497.2142857142857,,,1011.7857142857143,,189.42857142857142,5.360714285714286,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiaodingshan,sedimentary,444.0,China,,4.846153846153846,1.26,5,45.82,3.275,14.968,1.932,6.602000000000001,3.022,0.48,0.1125,0.32599999999999996,0.055,22.62,,6021.8,,212.6,846.4,29.308,1.324,,331.4,145.06,,,,,,76.5,,102.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.68,,,,21.105999999999998,,,,,,
Kalahari - Mamatwan,sedimentary,2250.0,South Africa,,7500,2550,36,39.566015532447004,9.474333333333336,4.618666666666667,0.14033333333333328,,,,,0.012884615384615385,0.030066666666666676,21.566999999999997,,516.26,,46.67307692307692,17.25,5.108333333333333,,,45.06666666666667,14.558333333333334,,,,,,14.18846153846154,6.472727272727273,35.679999999999986,8.083333333333336,13.975,5.8,0.6825000000000001,3.3124999999999996,0.4125,0.1575,0.73875,0.09000000000000001,0.7012499999999999,0.14,0.4575,0.057499999999999996,0.55,0.08,38.079019073569484,6.0606060606060606,4.981751824817517,4.6589310829817165,1.7857142857142856,1.810344827586207,2.41421568627451,0.7758620689655172,2.217741935483871,0.44002984689494096,0.8719012199188989,7.473173148377508,0.6322020666666668,1.2013376333333337,7.473173148377508,,,-8.8,,,,23.846,,,,,,
Kalahari - supergene,sedimentary,2250.0,South Africa,,400,160,,50.91428571428571,6.866428571428571,8.73,0.2842857142857143,,,,,0.14100000000000001,0.057857142857142864,17.9,,461.7692307692308,,44.84615384615385,15.423076923076923,,,,5.0,2.0,,,,,,15.384615384615385,,177.65384615384616,,10.3,10.95,2.2,10.4,2.35,,2.5,,2.3,,1.75,,,,28.065395095367847,11.442006269592476,16.058394160583937,14.627285513361464,10.173160173160174,,8.169934640522875,,9.274193548387096,0.5389711815314363,,3.0261817320222724,,,,,,-10.00625,,,,18.654249999999998,,,,,,
Kalahari - Wessels,sedimentary,2250.0,South Africa,,125,50,21,71.94810784223307,13.33455887359233,2.987619047619048,0.1819047619047619,5.332380952380952,0.46523809523809523,0.01761904761904762,0.015238095238095238,0.07857142857142858,0.06285714285714288,1.8838095238095238,20.238095238095237,2316.5714285714284,,13.19047619047619,154.4,259.42857142857144,36.42857142857143,25.142857142857142,105.61904761904762,85.52380952380952,,,1139.404761904762,,,,,383.3809523809524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karadzhal (Karazhal, Karadjal) all oxide",volcanogenic,375.0,Kazakhstan,,360,71.568,18,25.930434782608693,16.527224999999998,21.822499999999998,3.66,13.389999999999999,0.82,0.57,0.415,0.101905,0.15,,113.0,7825.0,,29.391666666666666,20.429166666666667,155.0,,,,2700.0,,2.3666666666666667,845.4444444444443,1.0833333333333333,,,178.88888888888889,800.0,,11.7675,9.5725,,,1.8524999999999998,0.49437500000000006,,0.31237500000000007,,,,,0.6,,32.06403269754769,10.002612330198538,,,8.019480519480519,5.682471264367816,,5.385775862068965,2.4193548387096775,,,13.253133514986374,,,9.961533860570214,,,,,,,,,,,,,
Karwendel /Tennengebirge,sedimentary,161.0,Austria,,0.5,0.06187,5,20.46,9.963999999999999,25.1,3.572,10.459999999999999,2.38,1.478,0.16,0.192,0.6380000000000001,22.523999999999997,,527.6666666666666,,79.66666666666667,21.133333333333333,34.333333333333336,4.3,22.666666666666668,5.0,48.76666666666667,0.5333333333333333,6.5,472.3333333333333,2.3000000000000003,0.65,41.666666666666664,23.266666666666666,38.666666666666664,38.0,23.266666666666666,91.23333333333333,5.126666666666666,20.900000000000002,4.266666666666667,0.9633333333333334,4.34,0.65,3.783333333333333,0.7466666666666667,2.0500000000000003,0.2733333333333334,1.6600000000000001,0.2466666666666667,63.3969118982743,95.33263671194706,37.42092457420924,29.395218002812943,18.47041847041847,11.072796934865902,14.183006535947712,11.206896551724137,6.693548387096775,1.9572680024890314,0.6841239843295563,9.47134587395905,1.1942,0.7125,10.623,,,,,,,,,,0.068,,,
Krížna,sedimentary,180.0,Poland,0.5,,0.16,3,55.06666666666666,4.966666666666667,3.073333333333333,0.9633333333333334,13.6,0.9766666666666666,0.27666666666666667,0.08333333333333333,0.19333333333333336,0.015666666666666666,,38.96666666666667,1272.0,0.64,70.66666666666667,7.6,6.733333333333333,4.3,,105.46666666666665,30.366666666666664,,1.6733333333333331,565.3333333333334,0.9333333333333335,,17.799999999999997,18.966666666666665,24.166666666666668,,26.03333333333333,128.0,,20.333333333333332,3.723333333333333,0.9866666666666667,,0.5166666666666667,,,,,2.09,0.31,72.00272479564032,112.85266457680252,40.02194823509119,29.887482419127988,16.30952380952381,11.264367816091955,11.489352069347644,10.129310344827587,8.42741935483871,2.1022687707103667,0.8228836126621963,8.543863994889378,1.7261,0.8965,,,,,,,,,,,,,,
Kyzltash,volcanogenic,385.0,Russia,,1.5,0.2625,,37.68190476190476,4.6230769230769235,35.300000000000004,1.8299999999999998,13.27142857142857,0.7376923076923076,0.10769230769230766,0.15846153846153854,0.04384615384615386,0.06807692307692309,5.728461538461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.963636363636367,-19.5125,,-13.033272727272726,17.672727272727272,-13.7935,16.9125,,,,
Laba (Labinsk),sedimentary,28.0,Russia,,30,3,24,32.92843526271083,3.8834836615935546,,,9.846547095656812,1.3921158027912863,,,0.04078044209450007,,39.61910430848032,,,,13.166666666666666,19.166666666666668,21.958333333333332,,,151.25,,,,,,,37.125,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lijiaying,volcanogenic,1400.0,China,,10,2.3,18,37.35,0.9750000000000001,18.266666666666666,0.9333333333333335,19.38333333333333,2.205,0.5283333333333333,0.5408333333333334,0.05833333333333334,0.03,14.498333333333335,,,,,,,,,,,,,,,,,,,,12.0,57.0,2.266666666666667,8.183333333333334,1.4383333333333332,0.14500000000000002,1.5833333333333337,0.245,1.6499999999999997,0.3333333333333333,0.9599999999999999,0.15,0.8350000000000001,,32.69754768392371,59.56112852664577,16.54501216545012,11.509610876699485,6.226551226551226,2.4137931034482762,5.174291938997821,4.224137931034482,6.653225806451612,2.5427022880990706,0.4513544418116239,4.955240472871503,2.1563,0.4342,,,,-0.5,,,,20.396,,,,,,
Lucifer,volcanogenic,3.6,Mexico,0.3,,0.12,,58.6893546619689,2.730045323570789,4.47,1.73,1.16,0.83,,0.6464957264957265,0.1146,,8.86,0.11,7703.02,490.0,2800.0000000000005,810.0,5900.0,240.0,784.2800000000001,1100.0,,,,,,,,,,,56.442857142857136,93.77142857142857,4.185714285714286,18.557142857142857,4.171428571428572,1.4000000000000001,3.357142857142857,0.4714285714285714,3.7428571428571424,0.7714285714285714,2.7714285714285714,0.5,2.6000000000000005,0.3285714285714286,153.7952510704554,97.98477384684281,30.552659019812303,26.100060277275468,18.05813234384663,16.09195402298851,10.971055088702148,8.12807881773399,10.483870967741938,1.429429120291291,1.143268320145924,14.669700871335744,1.429429120291291,1.143268320145924,,,,,,,,,,,,,,
Mangyshlak-carb,sedimentary,28.0,Kazakhstan,,30,2.6,24,25.651247857142856,2.8148999999999997,,,,,,,0.46107399999999993,0.16666666666666666,,,,,5.714285714285714,18.416666666666668,16.583333333333332,,,40.416666666666664,,,,,,,45.583333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangyshlak-ox,sedimentary,28.0,Kazakhstan,,,0.4,,39.823315624999985,3.4766874999999997,,,,,,,0.08795549999999998,,,,,,71.44444444444444,22.31578947368421,59.25,,,162.35,,,,,,,90.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matese-Ciociaria,volcanogenic,11.0,Italy,0.08,,0.034171428571428575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minle,sedimentary,660.0,China,1,29,6,,,3.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.388888888888888,,,,25.461555555555556,,,,49.34285714285715,,
